BFS,Gemeinde,Wappen,Anbieter 1,Anbieter 2,total,netznutzung,energie,abgaben_gemeinwesen,foerderabgabgen,total2,netznutzung2,energie2,abgaben_gemeinwesen2,foerderabgabgen2,angezeigter_wert
4001,Aarau,http://i.imgur.com/JWqWyRS.png,Eniwa AG,,26.28,14.543928,8.587143,0.85,2.3,,,,,,26.28
4002,Biberstein,http://i.imgur.com/Kt8HIfM.png,Eniwa AG,,26.28,14.543928,8.587143,0.85,2.3,,,,,,26.28
4003,Buchs,http://i.imgur.com/qmCDQpo.png,Eniwa AG,,26.28,14.543928,8.587143,0.85,2.3,,,,,,26.28
4004,Densbüren,http://i.imgur.com/0PxOfpX.png,Eniwa AG,,26.28,14.543928,8.587143,0.85,2.3,,,,,,26.28
4005,Erlinsbach,http://i.imgur.com/Ih3L9IJ.png,Eniwa AG,,26.28,14.543928,8.587143,0.85,2.3,,,,,,26.28
4006,Gränichen,http://i.imgur.com/CIdzMjH.png,TB Gränichen Energie AG,,25.32,14.984181,7.4084225,0.63,2.3,,,,,,25.32
4007,Hirschthal,http://i.imgur.com/EukYYJT.png,Eniwa AG,,26.28,14.543928,8.587143,0.85,2.3,,,,,,26.28
4008,Küttigen,http://i.imgur.com/p524AOA.png,Eniwa AG,,26.28,14.543928,8.587143,0.85,2.3,,,,,,26.28
4009,Muhen,http://i.imgur.com/bL0cP46.png,Gemeindeverwaltung Muhen,,25.39,13.625982,8.657366,0.8,2.3,,,,,,25.39
4010,Oberentfelden,http://i.imgur.com/eNr44Vb.png,Technische Betriebe Oberentfelden,,21.66,10.143304,8.271473,0.95,2.3,,,,,,21.66
4012,Suhr,http://i.imgur.com/lcfdzfA.png,Technische Betriebe Suhr,,22.34,11.634108,7.6566963,0.75,2.3,,,,,,22.34
4013,Unterentfelden,http://i.imgur.com/YH3LS4D.png,Eniwa AG,,26.28,14.543928,8.587143,0.85,2.3,,,,,,26.28
4021,Baden,http://i.imgur.com/in3AmXY.png,Regionalwerke AG Baden,,24.32,15.035,6.7,0.28,2.3,,,,,,24.32
4022,Bellikon,http://i.imgur.com/EVrqPHP.png,Elektra-Genossenschaft Bellikon-Hausen,,24.47,14.235446,7.2311754,0.7,2.3,,,,,,24.47
4023,Bergdietikon,http://i.imgur.com/zqGmpsA.png,AEW Energie AG,,25.12,14.159628,7.815588,0.84,2.3,,,,,,25.12
4024,Birmenstorf,http://i.imgur.com/z7XUl5Q.png,Technische Betriebe Birmenstorf,,22.13,12.637083,6.688542,0.5,2.3,,,,,,22.13
4026,Ennetbaden,http://i.imgur.com/wJOjCmh.png,Regionalwerke AG Baden,,24.32,15.035,6.7,0.28,2.3,,,,,,24.32
4027,Fislisbach,http://i.imgur.com/Nlv59so.png,Genossenschaft Elektra Fislisbach,,22.27,12.326816,7.63936,,2.3,,,,,,22.27
4028,Freienwil,http://i.imgur.com/nTfgkCY.png,Genossenschaft Elektra Ehrendingen,,25.29,14.334628,8.238542,0.42,2.3,,,,,,25.29
4029,Gebenstorf,http://i.imgur.com/RxpsOVw.png,EV Gebenstorf AG,,25.63,14.735446,7.8885417,0.7,2.3,,,,,,25.63
4030,Killwangen,http://i.imgur.com/1mK0CwS.png,Elektrizitäts - Versorgung Killwangen,,23.42,13.531354,6.942634,0.65,2.3,,,,,,23.42
