BFS,Gemeinde,Wappen,Anbieter 1,Anbieter 2,total,netznutzung,energie,abgaben_gemeinwesen,foerderabgabgen,total2,netznutzung2,energie2,abgaben_gemeinwesen2,foerderabgabgen2,angezeigter_wert
4038,Obersiggenthal,http://i.imgur.com/uJJH5dZ.png,Elektrizitäts-Genossenschaft Siggenthal,,20.78,10.294603,7.774349,0.42,2.3,,,,,,20.78
4039,Remetschwil,http://i.imgur.com/3bWmPXL.png,Elektra - Genossenschaft Remetschwil,Elektra Busslingen,18.19,8.893333,7.0,,2.3,18.59,8.893333,7.4,,2.3,18.39
4040,Spreitenbach,http://i.imgur.com/rTrCwxh.png,Elektrizitätsversorgung Spreitenbach,,16.57,5.819286,7.7179365,0.73,2.3,,,,,,16.57
4041,Stetten,http://i.imgur.com/Qeadgb2.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4042,Turgi,http://i.imgur.com/PzCWLUz.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4044,Untersiggenthal,http://i.imgur.com/jBMixKU.png,AEW Energie AG,Elektrizitäts-Genossenschaft Siggenthal,20.55,9.543635,7.8065634,0.9,2.3,20.78,10.294603,7.774349,0.42,2.3,20.665
4045,Wettingen,http://i.imgur.com/bZt880G.png,Energie Wettingen AG,,19.53,9.523762,6.861373,0.85,2.3,,,,,,19.53
4046,Wohlenschwil,http://i.imgur.com/o0QVJBn.png,Elektrizitätswerk Wohlenschwil,,19.78,8.967048,7.51954,0.99,2.3,,,,,,19.78
4047,Würenlingen,http://i.imgur.com/MCG8Kel.png,Elektrizitätswerk Würenlingen,,19.37,8.201651,8.469159,0.4,2.3,,,,,,19.37
4048,Würenlos,http://i.imgur.com/BeciNc5.png,Technische Betriebe Würenlos,,19.53,9.76,6.771714,0.7,2.3,,,,,,19.53
4049,Ehrendingen,http://i.imgur.com/fiW4ip1.png,Genossenschaft Elektra Ehrendingen,,20.43,9.476968,8.227555,0.42,2.3,,,,,,20.43
4061,Arni,http://i.imgur.com/C3WOB3q.png,Elektra-Genossenschaft Arni-Islisberg,,16.16,7.759032,6.1,,2.3,,,,,,16.16
4062,Berikon,http://i.imgur.com/3Xs5j19.png,Elektrizitäts - Versorgung Berikon,,15.29,5.610635,7.142135,0.24,2.3,,,,,,15.29
4063,Bremgarten,http://i.imgur.com/BG0afll.png,AEW Energie AG,Elektra Hermetschwil-Staffeln,20.55,9.543635,7.8065634,0.9,2.3,19.04,9.807096,6.9291587,,2.3,19.795
4064,Büttikon,http://i.imgur.com/ogYGHIu.png,Elektrizitäts-Versorgung Büttikon,,16.82,8.897349,5.618222,,2.3,,,,,,16.82
4065,Dottikon,http://i.imgur.com/0mUHtpT.png,AEW Energie AG,Gemeindewerke Villmergen,20.55,9.543635,7.8065634,0.9,2.3,21.07,10.5745,7.2968173,0.9,2.3,20.810000000000002
4066,Eggenwil,http://i.imgur.com/yYenINV.png,Elektra Eggenwil,,18.44,8.26127,6.9839683,0.9,2.3,,,,,,18.44
4067,Fischbach-Göslikon,http://i.imgur.com/mWTvWia.png,Elektra-Genossenschaft Fischbach-Göslikon,,16.82,7.2859526,6.9839683,0.25,2.3,,,,,,16.82
4068,Hägglingen,http://i.imgur.com/yrhxWfN.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4071,Jonen,http://i.imgur.com/ECk8cce.png,Elektrizitätsgenossenschaft Jonen,,19.0,8.526667,8.17,,2.3,,,,,,19.0
4072,Niederwil,http://i.imgur.com/W6rKm9n.png,Elektrizitätswerk Niederwil,,15.66,6.06,6.5,0.8,2.3,,,,,,15.66
4073,Oberlunkhofen,http://i.imgur.com/KcFNdhq.png,Elektra Oberlunkhofen,,15.11,6.512,6.3,,2.3,,,,,,15.11
4074,Oberwil-Lieli,http://i.imgur.com/WgLIb5X.png,Elektra Oberwil-Lieli,,16.11,7.6059523,5.4,0.8,2.3,,,,,,16.11
4075,Rudolfstetten-Friedlisberg,http://i.imgur.com/0ovp26K.png,Elektra Rudolfstetten-Friedlisberg AG,,19.0,8.671524,7.380762,0.65,2.3,,,,,,19.0
4076,Sarmenstorf,http://i.imgur.com/sZSmep6.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4077,Tägerig,http://i.imgur.com/zvpZnBf.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4078,Uezwil,http://i.imgur.com/guL4ZZO.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4079,Unterlunkhofen,http://i.imgur.com/0P2K5gE.png,Elektra Unterlunkhofen,,17.56,5.96,8.7,0.6,2.3,,,,,,17.56
4080,Villmergen,http://i.imgur.com/A2GyHF4.png,Gemeindewerke Villmergen,,21.07,10.5745,7.2968173,0.9,2.3,,,,,,21.07
4081,Widen,http://i.imgur.com/vcitIcK.png,Elektra Widen Betriebs AG,,19.19,9.077453,7.161373,0.65,2.3,,,,,,19.19
4082,Wohlen,http://i.imgur.com/toO1BXR.png,IB Wohlen AG,,20.13,10.22,7.5,0.11,2.3,,,,,,20.13
4083,Zufikon,http://i.imgur.com/LxfskzN.png,Elektra Zufikon,,16.8,7.131675,6.9246745,0.45,2.3,,,,,,16.8
4084,Islisberg,http://i.imgur.com/xKYZkne.png,Elektra-Genossenschaft Arni-Islisberg,,16.16,7.759032,6.1,,2.3,,,,,,16.16
4091,Auenstein,http://i.imgur.com/uT769MY.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4092,Birr,http://i.imgur.com/8lubMLf.png,IBB Strom AG,,20.65,9.543,8.293738,0.52,2.3,,,,,,20.65
4093,Birrhard,http://i.imgur.com/vJnLuxW.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4094,Bözen,http://i.imgur.com/4vqxy3h.png,AEW Energie AG,Elektrizitätsversorgung Bözen,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4095,Brugg,http://i.imgur.com/V9u6Gti.png,IBB Strom AG,,20.65,9.543,8.293738,0.52,2.3,,,,,,20.65
4096,Effingen,http://i.imgur.com/ZN8SrR2.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4097,Elfingen,http://i.imgur.com/Zf9aMeU.png,Elektrizitäts - Versorgung Elfingen,IBB Strom AG,,,,,,20.65,9.543,8.293738,0.52,2.3,20.65
4099,Habsburg,http://i.imgur.com/gdx3lLc.png,IBB Strom AG,,20.65,9.543,8.293738,0.52,2.3,,,,,,20.65
4100,Hausen,http://i.imgur.com/xX4VwmR.png,IBB Strom AG,,20.65,9.543,8.293738,0.52,2.3,,,,,,20.65
4104,Lupfig,http://i.imgur.com/GsvlHnm.png,IBB Strom AG,,20.65,9.543,8.293738,0.52,2.3,,,,,,20.65
4105,Mandach,http://i.imgur.com/9A7gzrY.png,Elektra Mettauertal und Umgebung,,20.37,10.96,6.9,0.21,2.3,,,,,,20.37
4106,Mönthal,http://i.imgur.com/Yxxsjjp.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4107,Mülligen,http://i.imgur.com/9f1bnFE.png,Elektrizitäts - Genossenschaft Mülligen,,16.39,6.7603016,7.3259525,,2.3,,,,,,16.39
4110,Remigen,http://i.imgur.com/U0CfL6R.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4111,Riniken,http://i.imgur.com/0uuXfx7.png,Elektrizitäts-Genossenschaft Riniken,,18.97,9.213841,7.4647303,,2.3,,,,,,18.97
4112,Rüfenach,http://i.imgur.com/yan4Ctu.png,AEW Energie AG,IBB Strom AG,20.55,9.543635,7.8065634,0.9,2.3,20.65,9.543,8.293738,0.52,2.3,20.6
4117,Thalheim,http://i.imgur.com/esL6zNk.png,Elektrizitätsversorgung Thalheim,,17.49,8.093333,6.6,0.5,2.3,,,,,,17.49
4120,Veltheim,http://i.imgur.com/FtvKIDE.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4121,Villigen,http://i.imgur.com/eE28poK.png,Elektrizitätsversorgung Villigen,,16.38,7.0343494,6.448548,0.6,2.3,,,,,,16.38
4122,Villnachern,http://i.imgur.com/GZXQi5c.png,Elektrizitätsgenossenschaft Villnachern,IBB Strom AG,,,,,,20.65,9.543,8.293738,0.52,2.3,20.65
4123,Windisch,http://i.imgur.com/rEkQqqO.png,Elektrizitäts- und Wasserwerk Windisch,,21.06,8.333333,9.3,1.13,2.3,,,,,,21.06
4124,Bözberg,http://i.imgur.com/Z82TA8D.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4125,Schinznach,http://i.imgur.com/QGZrvS1.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4131,Beinwil am See,http://i.imgur.com/CZhBYqU.png,EWS Energie AG,Technische Betriebe Beinwil am See,16.56,7.76,6.5,,2.3,,,,,,16.56
4132,Birrwil,http://i.imgur.com/JoWL5vL.png,EWS Energie AG,,16.56,7.76,6.5,,2.3,,,,,,16.56
4133,Burg,http://i.imgur.com/vOAYsho.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4134,Dürrenäsch,http://i.imgur.com/yvxFBnD.png,Elektrizitätswerk Dürrenäsch,,17.58,7.880024,7.0,0.4,2.3,,,,,,17.58
4135,Gontenschwil,http://i.imgur.com/Lclz6bM.png,EWS Energie AG,,16.56,7.76,6.5,,2.3,,,,,,16.56
4136,Holziken,http://i.imgur.com/UX2nmJk.png,Eniwa AG,,21.69,9.950477,8.585714,0.85,2.3,,,,,,21.69
4137,Leimbach,http://i.imgur.com/TX9Scww.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4138,Leutwil,http://i.imgur.com/L9D6Thz.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4139,Menziken,http://i.imgur.com/uIpPosE.png,EWS Energie AG,,16.56,7.76,6.5,,2.3,,,,,,16.56
4140,Oberkulm,http://i.imgur.com/P5AI07c.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4141,Reinach,http://i.imgur.com/Iyt0GB9.png,EWS Energie AG,,16.56,7.76,6.5,,2.3,,,,,,16.56
4142,Schlossrued,http://i.imgur.com/qBWENd4.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4143,Schmiedrued,http://i.imgur.com/PwOUivA.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4144,Schöftland,http://i.imgur.com/9LgvZlg.png,Technische Betriebe Schöftland,,19.49,9.214143,7.2807617,0.7,2.3,,,,,,19.49
4145,Teufenthal,http://i.imgur.com/NvOAkJh.png,Elektrizitätsversorgung Teufenthal,,20.87,9.603587,8.0724125,0.9,2.3,,,,,,20.87
4146,Unterkulm,http://i.imgur.com/BoM5cfD.png,AEW Energie AG,Elektrizitäts - Versorgung Unterkulm,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4147,Zetzwil,http://i.imgur.com/HQ60iSU.png,EWS Energie AG,,16.56,7.76,6.5,,2.3,,,,,,16.56
4161,Eiken,http://i.imgur.com/iCYKJYG.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4163,Frick,http://i.imgur.com/vz4fzlu.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4164,Gansingen,http://i.imgur.com/78jiI1Z.png,AEW Energie AG,Elektra-Genossenschaft Gansingen,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4165,Gipf-Oberfrick,http://i.imgur.com/xgSIKpN.png,Elektra Gipf-Oberfrick,Energie Oberes Fricktal AG ,,,,,,19.04,9.2497225,7.2,0.29,2.3,19.04
4166,Herznach,http://i.imgur.com/MhJEcTa.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4167,Hornussen,http://i.imgur.com/lSP17BT.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4169,Kaisten,http://i.imgur.com/k2OMcvS.png,Elektrizitätsversorgung Kaisten,,18.8,9.191397,6.76473,0.55,2.3,,,,,,18.8
4170,Laufenburg,http://i.imgur.com/0q2DzDX.png,Städtische Elektrizitätsversorgung Laufenburg,,18.34,8.883,6.561524,0.6,2.3,,,,,,18.34
4172,Münchwilen,http://i.imgur.com/28quAhM.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4173,Oberhof,http://i.imgur.com/z0ORwr7.png,Elektra Genossenschaft Oberhof,Energie Oberes Fricktal AG ,,,,,,19.04,9.2497225,7.2,0.29,2.3,19.04
4175,Oeschgen,http://i.imgur.com/A9axLHn.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4176,Schwaderloch,http://i.imgur.com/NHfpFSM.png,Elektra Mettauertal und Umgebung,,20.37,10.96,6.9,0.21,2.3,,,,,,20.37
4177,Sisseln,http://i.imgur.com/7RvTKOe.png,Elektra Sisseln,,14.03,5.145619,6.2953334,0.28,2.3,,,,,,14.03
4179,Ueken,http://i.imgur.com/BVhtXoi.png,Elektrizitätsversorgung Ueken,,20.75,10.338159,7.005746,1.1,2.3,,,,,,20.75
4181,Wittnau,http://i.imgur.com/MAHyAYx.png,Elektra Gemeinde Wittnau,Energie Oberes Fricktal AG ,,,,,,19.04,9.2497225,7.2,0.29,2.3,19.04
4182,Wölflinswil,http://i.imgur.com/vV3lkT2.png,Elektra Wölflinswil,Energie Oberes Fricktal AG ,,,,,,19.04,9.2497225,7.2,0.29,2.3,19.04
4183,Zeihen,http://i.imgur.com/DRqKcvq.png,Elektrizitäts - Versorgung Zeihen,,17.32,7.8933334,6.7,0.43,2.3,,,,,,17.32
4184,Mettauertal,http://i.imgur.com/gALhRfi.png,Elektra Mettauertal und Umgebung,,20.37,10.96,6.9,0.21,2.3,,,,,,20.37
4191,Ammerswil,http://i.imgur.com/afyGrTN.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4192,Boniswil,http://i.imgur.com/uBIcVt3.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4193,Brunegg,http://i.imgur.com/F3kukwZ.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4194,Dintikon,http://i.imgur.com/lBAsq7b.png,Elektrizitätsversorgung Dintikon,,16.86,7.571373,6.187175,0.8,2.3,,,,,,16.86
4195,Egliswil,http://i.imgur.com/vN2vVQd.png,Technische Betriebe Seon AG,,22.58,11.622381,7.9781427,0.68,2.3,,,,,,22.58
4196,Fahrwangen,http://i.imgur.com/zB6yFbf.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4197,Hallwil,http://i.imgur.com/HtG409v.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4198,Hendschiken,http://i.imgur.com/gWXFvm5.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4199,Holderbank,http://i.imgur.com/qsnl5Dc.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4200,Hunzenschwil,http://i.imgur.com/Vqj6WIx.png,Energie Hunzenschwil AG,,20.93,11.026667,7.1,0.5,2.3,,,,,,20.93
4201,Lenzburg,http://i.imgur.com/hwKNDNt.png,SWL Energie AG,,17.21,8.060952,6.2,0.65,2.3,,,,,,17.21
4202,Meisterschwanden,http://i.imgur.com/5oMnSnx.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4203,Möriken-Wildegg,http://i.imgur.com/0EUBHOL.png,RTB Regionale Technische Betriebe,,18.68,9.278571,7.1,,2.3,,,,,,18.68
4204,Niederlenz,http://i.imgur.com/8PjOy30.png,RTB Regionale Technische Betriebe,,18.68,9.278571,7.1,,2.3,,,,,,18.68
4205,Othmarsingen,http://i.imgur.com/534vMUa.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4206,Rupperswil,http://i.imgur.com/Ltb4dWS.png,Elektrizitätsversorgung Rupperswil,,19.08,9.076667,7.7,,2.3,,,,,,19.08
4207,Schafisheim,http://i.imgur.com/H3aMbia.png,Elektrizitätswerk Schafisheim,,19.33,8.342603,8.085579,0.6,2.3,,,,,,19.33
4208,Seengen,http://i.imgur.com/5Sg16Rz.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4209,Seon,http://i.imgur.com/cQJKG8S.png,Technische Betriebe Seon AG,,22.58,11.622381,7.9781427,0.68,2.3,,,,,,22.58
4210,Staufen,http://i.imgur.com/GQ3xIgp.png,Elektrizitätsverwaltung Staufen,,17.73,7.2266665,7.6,0.6,2.3,,,,,,17.73
4221,Abtwil,http://i.imgur.com/quVNZ0U.png,Elektra - Genossenschaft Abtwil,,17.38,8.933333,5.9,0.25,2.3,,,,,,17.38
4222,Aristau,http://i.imgur.com/PIvaWFS.png,Elektrizitäts - Genossenschaft Aristau,,16.51,7.826667,6.0755553,0.3,2.3,,,,,,16.51
4223,Auw,http://i.imgur.com/84retIE.png,Elektra Auw,,17.74,9.056666,6.1083555,0.27,2.3,,,,,,17.74
4224,Beinwil (Freiamt),http://i.imgur.com/1n5fQC2.png,Elektra Brunnwil,Elektra-Genossenschaft Beinwil,,,,,,17.46,8.86,6.3,,2.3,17.46
4226,Besenbüren,http://i.imgur.com/yiA3B1k.png,Elektra Besenbüren,,17.06,6.9133334,7.85,,2.3,,,,,,17.06
4227,Bettwil,http://i.imgur.com/OaApds5.png,Elektra Bettwil,,20.59,10.966714,6.9679365,0.35,2.3,,,,,,20.59
4228,Boswil,http://i.imgur.com/sxNfHIM.png,Elektrizitäts - Genossenschaft Boswil - Bünzen,,16.94,8.140913,6.2983966,0.2,2.3,,,,,,16.94
4229,Bünzen,http://i.imgur.com/R25JhYh.png,Elektra - Genossenschaft Waldhäusern,Elektrizitäts - Genossenschaft Boswil - Bünzen,,,,,,16.94,8.140913,6.2983966,0.2,2.3,16.94
4230,Buttwil,http://i.imgur.com/yppnIDt.png,EFA Energie Freiamt AG,,19.46,9.422008,6.8478494,0.89,2.3,,,,,,19.46
4231,Dietwil,http://i.imgur.com/OzZ1nJd.png,EFA Energie Freiamt AG,,19.46,9.422008,6.8478494,0.89,2.3,,,,,,19.46
4232,Geltwil,http://i.imgur.com/QsJLNJe.png,Elektra Geltwil,Elektra-Genossenschaft Beinwil,15.62,9.220445,6.4,,,17.46,8.86,6.3,,2.3,16.54
4233,Kallern,http://i.imgur.com/xKNEKBa.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4234,Merenschwand,http://i.imgur.com/VUV5NO6.png,Elektrizitäts-Genossenschaft Benzenschwil,Elektrizitäts-Genossenschaft Merenschwand,16.59,6.2933335,8.0,,2.3,15.96,6.8859525,6.774349,,2.3,16.275
4235,Mühlau,http://i.imgur.com/RsXBeqQ.png,Elektrizitätsgenossenschaft Mühlau,,18.14,8.493333,7.0,0.35,2.3,,,,,,18.14
4236,Muri,http://i.imgur.com/djI91Qx.png,EFA Energie Freiamt AG,,19.46,9.422008,6.8478494,0.89,2.3,,,,,,19.46
4237,Oberrüti,http://i.imgur.com/pRsDklD.png,Elektrogenossenschaft Oberrüti,,16.35,7.6776032,6.2679367,0.1,2.3,,,,,,16.35
4238,Rottenschwil,http://i.imgur.com/H1UEchi.png,Elektra - Genossenschaft Rottenschwil - Werd,,,,,,,,,,,,
4239,Sins,http://i.imgur.com/I3auIg0.png,Elektra Sins,Elektrizitäts-Genossenschaft Aettenschwil,15.49,7.486103,5.3211427,0.38,2.3,20.46,10.519111,7.2644444,0.38,2.3,17.975
4240,Waltenschwil,http://i.imgur.com/b4SUG3R.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4251,Hellikon,http://i.imgur.com/J5RSMbU.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4252,Kaiseraugst,http://i.imgur.com/rTZ61AE.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4253,Magden,http://i.imgur.com/RjlsGjO.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4254,Möhlin,http://i.imgur.com/dODOirk.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4255,Mumpf,http://i.imgur.com/4FvMR7y.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4256,Obermumpf,http://i.imgur.com/lZjt1pO.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4257,Olsberg,http://i.imgur.com/vmb4c6O.png,Elektra-Genossenschaft Olsberg,,18.99,10.246508,6.4438887,,2.3,,,,,,18.99
4258,Rheinfelden,http://i.imgur.com/9BmdPBn.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4259,Schupfart,http://i.imgur.com/eMTBgqS.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4260,Stein,http://i.imgur.com/3moofQ2.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4261,Wallbach,http://i.imgur.com/FNtG3ZP.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4262,Wegenstetten,http://i.imgur.com/zXwaQpI.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4263,Zeiningen,http://i.imgur.com/NDqPy8c.png,EV Zeiningen,,18.65,6.8175554,8.790936,0.74,2.3,,,,,,18.65
4264,Zuzgen,http://i.imgur.com/SNdgB4O.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4271,Aarburg,http://i.imgur.com/6Voq865.png,tba energie ag,,20.3,9.9,7.5,0.6,2.3,,,,,,20.3
4273,Bottenwil,http://i.imgur.com/LKmgR6E.png,Eniwa AG,,21.69,9.950477,8.585714,0.85,2.3,,,,,,21.69
4274,Brittnau,http://i.imgur.com/pYHLczb.png,AEW Energie AG,Elektrizitätswerk Brittnau,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4275,Kirchleerau,http://i.imgur.com/VUYTPz1.png,Eniwa AG,,21.69,9.950477,8.585714,0.85,2.3,,,,,,21.69
4276,Kölliken,http://i.imgur.com/82JAxdf.png,EWK Energie AG,,14.39,4.8,6.34,0.95,2.3,,,,,,14.39
4277,Moosleerau,http://i.imgur.com/tY7Fvn4.png,Eniwa AG,,21.69,9.950477,8.585714,0.85,2.3,,,,,,21.69
4279,Murgenthal,http://i.imgur.com/vQIoXmy.png,Elektrizitätsversorgung Murgenthal,,21.73,10.3122225,7.728,1.39,2.3,,,,,,21.73
4280,Oftringen,http://i.imgur.com/yKfDk3D.png,EW Oftringen AG,,21.37,10.166667,7.9,1.0,2.3,,,,,,21.37
4281,Reitnau,http://i.imgur.com/yEt9ppb.png,Eniwa AG,,21.69,9.950477,8.585714,0.85,2.3,,,,,,21.69
