BFS,Gemeinde,Wappen,Anbieter 1,Anbieter 2,total,netznutzung,energie,abgaben_gemeinwesen,foerderabgabgen,total2,netznutzung2,energie2,abgaben_gemeinwesen2,foerderabgabgen2,angezeigter_wert
4001,Aarau,http://i.imgur.com/JWqWyRS.png,Eniwa AG,,21.69,9.950477,8.585714,0.85,2.3,,,,,,21.69
4002,Biberstein,http://i.imgur.com/Kt8HIfM.png,Eniwa AG,,21.69,9.950477,8.585714,0.85,2.3,,,,,,21.69
4003,Buchs,http://i.imgur.com/qmCDQpo.png,Eniwa AG,,21.69,9.950477,8.585714,0.85,2.3,,,,,,21.69
4004,Densbüren,http://i.imgur.com/0PxOfpX.png,Eniwa AG,,21.69,9.950477,8.585714,0.85,2.3,,,,,,21.69
4005,Erlinsbach,http://i.imgur.com/Ih3L9IJ.png,Eniwa AG,,21.69,9.950477,8.585714,0.85,2.3,,,,,,21.69
4006,Gränichen,http://i.imgur.com/CIdzMjH.png,TB Gränichen Energie AG,,21.03,10.67,7.43,0.63,2.3,,,,,,21.03
4007,Hirschthal,http://i.imgur.com/EukYYJT.png,Eniwa AG,,21.69,9.950477,8.585714,0.85,2.3,,,,,,21.69
4008,Küttigen,http://i.imgur.com/p524AOA.png,Eniwa AG,,21.69,9.950477,8.585714,0.85,2.3,,,,,,21.69
4009,Muhen,http://i.imgur.com/bL0cP46.png,Gemeindeverwaltung Muhen,,19.1,8.307619,7.6904764,0.8,2.3,,,,,,19.1
4010,Oberentfelden,http://i.imgur.com/eNr44Vb.png,Technische Betriebe Oberentfelden,,17.07,6.517143,7.304762,0.95,2.3,,,,,,17.07
4012,Suhr,http://i.imgur.com/lcfdzfA.png,Technische Betriebe Suhr,,19.49,8.76,7.68,0.75,2.3,,,,,,19.49
4013,Unterentfelden,http://i.imgur.com/YH3LS4D.png,Eniwa AG,,21.69,9.950477,8.585714,0.85,2.3,,,,,,21.69
4021,Baden,http://i.imgur.com/in3AmXY.png,Regionalwerke AG Baden,,19.46,9.96,6.7,0.5,2.3,,,,,,19.46
4022,Bellikon,http://i.imgur.com/EVrqPHP.png,Elektra-Genossenschaft Bellikon-Hausen,,19.35,9.3785715,7.213127,0.46,2.3,,,,,,19.35
4023,Bergdietikon,http://i.imgur.com/zqGmpsA.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4024,Birmenstorf,http://i.imgur.com/z7XUl5Q.png,Technische Betriebe Birmenstorf,,17.26,7.781778,6.6775556,0.5,2.3,,,,,,17.26
4026,Ennetbaden,http://i.imgur.com/wJOjCmh.png,Regionalwerke AG Baden,,19.46,9.96,6.7,0.5,2.3,,,,,,19.46
4027,Fislisbach,http://i.imgur.com/Nlv59so.png,Genossenschaft Elektra Fislisbach,,18.14,8.210635,7.6291585,,2.3,,,,,,18.14
4028,Freienwil,http://i.imgur.com/nTfgkCY.png,Genossenschaft Elektra Ehrendingen,,20.43,9.476968,8.227555,0.42,2.3,,,,,,20.43
4029,Gebenstorf,http://i.imgur.com/RxpsOVw.png,EV Gebenstorf AG,,20.76,9.8785715,7.8775554,0.7,2.3,,,,,,20.76
4030,Killwangen,http://i.imgur.com/1mK0CwS.png,Elektrizitäts - Versorgung Killwangen,,19.04,9.153889,6.935571,0.65,2.3,,,,,,19.04
4031,Künten,http://i.imgur.com/5mVDyI2.png,Elektra-Genossenschaft Künten,,18.57,8.881778,6.874349,0.52,2.3,,,,,,18.57
4032,Mägenwil,http://i.imgur.com/i6P6JMV.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4033,Mellingen,http://i.imgur.com/ygzUtMm.png,Elektrizitätswerk Mellingen,,17.06,7.86,6.0,0.9,2.3,,,,,,17.06
4034,Neuenhof,http://i.imgur.com/yrqjhgc.png,Elektrizität Wasser Neuenhof ewn,,18.94,8.593333,7.3,0.75,2.3,,,,,,18.94
4035,Niederrohrdorf,http://i.imgur.com/FIcVun6.png,AEW Energie AG,,20.55,9.543635,7.8065634,0.9,2.3,,,,,,20.55
4037,Oberrohrdorf,http://i.imgur.com/9yN4UPe.png,AEW Energie AG,Elektra Oberrohrdorf,20.55,9.543635,7.8065634,0.9,2.3,20.22,10.133333,7.18,0.61,2.3,20.384999999999998
