BFS,Gemeinde,Wappen,Anbieter 1,Anbieter 2,total,netznutzung,energie,abgaben_gemeinwesen,foerderabgabgen,total2,netznutzung2,energie2,abgaben_gemeinwesen2,foerderabgabgen2,angezeigter_wert
4177,Sisseln,http://i.imgur.com/7RvTKOe.png,Elektra Sisseln,,13.55,4.665724,6.295467,0.28,2.3,,,,,,13.55
4179,Ueken,http://i.imgur.com/BVhtXoi.png,Elektrizitätsversorgung Ueken,,19.19,9.004929,6.7924643,1.1,2.3,,,,,,19.19
4181,Wittnau,http://i.imgur.com/MAHyAYx.png,Elektra Gemeinde Wittnau,Energie Oberes Fricktal AG ,,,,,,17.56,7.7565417,7.2,0.3,2.3,17.56
4182,Wölflinswil,http://i.imgur.com/vV3lkT2.png,Elektra Wölflinswil,Energie Oberes Fricktal AG ,,,,,,17.56,7.7565417,7.2,0.3,2.3,17.56
4183,Zeihen,http://i.imgur.com/DRqKcvq.png,Elektrizitäts - Versorgung Zeihen,,16.47,7.04,6.7,0.43,2.3,,,,,,16.47
4184,Mettauertal,http://i.imgur.com/gALhRfi.png,Elektra Mettauertal und Umgebung,,19.09,9.68,6.9,0.21,2.3,,,,,,19.09
4191,Ammerswil,http://i.imgur.com/afyGrTN.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4192,Boniswil,http://i.imgur.com/uBIcVt3.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4193,Brunegg,http://i.imgur.com/F3kukwZ.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4194,Dintikon,http://i.imgur.com/lBAsq7b.png,Elektrizitätsversorgung Dintikon,,15.9,6.6114407,6.187238,0.8,2.3,,,,,,15.9
4195,Egliswil,http://i.imgur.com/vN2vVQd.png,Technische Betriebe Seon AG,,20.82,9.962735,7.9783287,0.58,2.3,,,,,,20.82
4196,Fahrwangen,http://i.imgur.com/zB6yFbf.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4197,Hallwil,http://i.imgur.com/HtG409v.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4198,Hendschiken,http://i.imgur.com/gWXFvm5.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4199,Holderbank,http://i.imgur.com/qsnl5Dc.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4200,Hunzenschwil,http://i.imgur.com/Vqj6WIx.png,Energie Hunzenschwil AG,,19.86,9.96,7.1,0.5,2.3,,,,,,19.86
4201,Lenzburg,http://i.imgur.com/hwKNDNt.png,SWL Energie AG,,16.25,7.101127,6.2,0.65,2.3,,,,,,16.25
4202,Meisterschwanden,http://i.imgur.com/5oMnSnx.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4203,Möriken-Wildegg,http://i.imgur.com/0EUBHOL.png,RTB Regionale Technische Betriebe,,17.61,8.212143,7.1,,2.3,,,,,,17.61
4204,Niederlenz,http://i.imgur.com/8PjOy30.png,RTB Regionale Technische Betriebe,,17.61,8.212143,7.1,,2.3,,,,,,17.61
4205,Othmarsingen,http://i.imgur.com/534vMUa.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4206,Rupperswil,http://i.imgur.com/Ltb4dWS.png,Elektrizitätsversorgung Rupperswil,,18.01,8.01,7.7,,2.3,,,,,,18.01
4207,Schafisheim,http://i.imgur.com/H3aMbia.png,Elektrizitätswerk Schafisheim,,18.05,7.489454,7.6591325,0.6,2.3,,,,,,18.05
4208,Seengen,http://i.imgur.com/5Sg16Rz.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4209,Seon,http://i.imgur.com/cQJKG8S.png,Technische Betriebe Seon AG,,20.82,9.962735,7.9783287,0.58,2.3,,,,,,20.82
4210,Staufen,http://i.imgur.com/GQ3xIgp.png,Elektrizitätsverwaltung Staufen,,16.98,6.48,7.6,0.6,2.3,,,,,,16.98
4221,Abtwil,http://i.imgur.com/quVNZ0U.png,Elektra - Genossenschaft Abtwil,,16.11,7.664,5.9,0.25,2.3,,,,,,16.11
4222,Aristau,http://i.imgur.com/PIvaWFS.png,Elektrizitäts - Genossenschaft Aristau,,15.44,6.76,6.076,0.3,2.3,,,,,,15.44
4223,Auw,http://i.imgur.com/84retIE.png,Elektra Auw,,16.56,7.99,6.10864,0.16,2.3,,,,,,16.56
4224,Beinwil (Freiamt),http://i.imgur.com/1n5fQC2.png,Elektra Brunnwil,Elektra-Genossenschaft Beinwil,,,,,,,,,,,
4226,Besenbüren,http://i.imgur.com/yiA3B1k.png,Elektra Besenbüren,,16.36,6.212,7.85,,2.3,,,,,,16.36
4227,Bettwil,http://i.imgur.com/OaApds5.png,Elektra Bettwil,,19.31,9.686929,6.9680953,0.35,2.3,,,,,,19.31
4228,Boswil,http://i.imgur.com/sxNfHIM.png,Elektrizitäts - Genossenschaft Boswil - Bünzen,,15.98,7.181131,6.2984047,0.2,2.3,,,,,,15.98
4229,Bünzen,http://i.imgur.com/R25JhYh.png,Elektra - Genossenschaft Waldhäusern,Elektrizitäts - Genossenschaft Boswil - Bünzen,,,,,,15.98,7.181131,6.2984047,0.2,2.3,15.98
4230,Buttwil,http://i.imgur.com/yppnIDt.png,EFA Energie Freiamt AG,,18.05,8.355488,6.848214,0.54,2.3,,,,,,18.05
4231,Dietwil,http://i.imgur.com/OzZ1nJd.png,EFA Energie Freiamt AG,,18.05,8.355488,6.848214,0.54,2.3,,,,,,18.05
4232,Geltwil,http://i.imgur.com/QsJLNJe.png,Elektra Geltwil,Elektra-Genossenschaft Beinwil,,,,,,,,,,,
4233,Kallern,http://i.imgur.com/xKNEKBa.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4234,Merenschwand,http://i.imgur.com/VUV5NO6.png,Elektrizitäts-Genossenschaft Benzenschwil,Elektrizitäts-Genossenschaft Merenschwand,15.74,5.44,8.0,,2.3,15.0,5.9260716,6.774476,,2.3,15.370000000000001
4235,Mühlau,http://i.imgur.com/RsXBeqQ.png,Elektrizitätsgenossenschaft Mühlau,,17.61,7.96,7.0,0.35,2.3,,,,,,17.61
4236,Muri,http://i.imgur.com/djI91Qx.png,EFA Energie Freiamt AG,,18.05,8.355488,6.848214,0.54,2.3,,,,,,18.05
4237,Oberrüti,http://i.imgur.com/pRsDklD.png,Elektrogenossenschaft Oberrüti,,15.81,7.144595,6.268095,0.1,2.3,,,,,,15.81
4238,Rottenschwil,http://i.imgur.com/H1UEchi.png,Elektra - Genossenschaft Rottenschwil - Werd,,,,,,,,,,,,
4239,Sins,http://i.imgur.com/I3auIg0.png,Elektra Sins,Elektrizitäts-Genossenschaft Aettenschwil,14.53,6.5263453,5.3212857,0.38,2.3,19.39,9.453077,7.2647777,0.38,2.3,16.96
4240,Waltenschwil,http://i.imgur.com/b4SUG3R.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4251,Hellikon,http://i.imgur.com/J5RSMbU.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4252,Kaiseraugst,http://i.imgur.com/rTZ61AE.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4253,Magden,http://i.imgur.com/RjlsGjO.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4254,Möhlin,http://i.imgur.com/dODOirk.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4255,Mumpf,http://i.imgur.com/4FvMR7y.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4256,Obermumpf,http://i.imgur.com/lZjt1pO.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4257,Olsberg,http://i.imgur.com/vmb4c6O.png,Elektra-Genossenschaft Olsberg,,17.92,9.180238,6.4441667,,2.3,,,,,,17.92
4258,Rheinfelden,http://i.imgur.com/9BmdPBn.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4259,Schupfart,http://i.imgur.com/eMTBgqS.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4260,Stein,http://i.imgur.com/3moofQ2.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4261,Wallbach,http://i.imgur.com/FNtG3ZP.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4262,Wegenstetten,http://i.imgur.com/zXwaQpI.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4263,Zeiningen,http://i.imgur.com/NDqPy8c.png,EV Zeiningen,,17.42,6.01775,8.364304,0.74,2.3,,,,,,17.42
4264,Zuzgen,http://i.imgur.com/SNdgB4O.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4271,Aarburg,http://i.imgur.com/6Voq865.png,tba energie ag,,19.34,8.940179,7.500099,0.6,2.3,,,,,,19.34
4273,Bottenwil,http://i.imgur.com/LKmgR6E.png,Eniwa AG,,20.68,8.937238,8.585791,0.85,2.3,,,,,,20.68
4274,Brittnau,http://i.imgur.com/pYHLczb.png,AEW Energie AG,Elektrizitätswerk Brittnau,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4275,Kirchleerau,http://i.imgur.com/VUYTPz1.png,Eniwa AG,,20.68,8.937238,8.585791,0.85,2.3,,,,,,20.68
4276,Kölliken,http://i.imgur.com/82JAxdf.png,EWK Energie AG,,14.39,4.800024,6.340024,0.95,2.3,,,,,,14.39
4277,Moosleerau,http://i.imgur.com/tY7Fvn4.png,Eniwa AG,,20.68,8.937238,8.585791,0.85,2.3,,,,,,20.68
4279,Murgenthal,http://i.imgur.com/vQIoXmy.png,Elektrizitätsversorgung Murgenthal,,20.77,9.353139,7.7283,1.39,2.3,,,,,,20.77
4280,Oftringen,http://i.imgur.com/yKfDk3D.png,EW Oftringen AG,,20.3,9.100123,7.900119,1.0,2.3,,,,,,20.3
4281,Reitnau,http://i.imgur.com/yEt9ppb.png,Eniwa AG,,20.68,8.937238,8.585791,0.85,2.3,,,,,,20.68
4282,Rothrist,http://i.imgur.com/9SjdW5A.png,EW Rothrist AG,,19.62,8.811286,7.714905,0.8,2.3,,,,,,19.62
4283,Safenwil,http://i.imgur.com/f0W1g7a.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4284,Staffelbach,http://i.imgur.com/3J4WNhu.png,Eniwa AG,,20.68,8.937238,8.585791,0.85,2.3,,,,,,20.68
4285,Strengelbach,http://i.imgur.com/zvfHrHe.png,StWZ Energie AG,,20.56,9.857367,7.5957522,0.8,2.3,,,,,,20.56
4286,Uerkheim,http://i.imgur.com/Bkm3C1T.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4287,Vordemwald,http://i.imgur.com/vl3uVMt.png,Elektrizitätsversorgung Vordemwald,EW Rothrist AG,,,,,,19.62,8.811286,7.714905,0.8,2.3,19.62
4288,Wiliberg,http://i.imgur.com/5dd7Hhd.png,Eniwa AG,,20.68,8.937238,8.585791,0.85,2.3,,,,,,20.68
4289,Zofingen,http://i.imgur.com/Qf7Qf0z.png,StWZ Energie AG,,20.56,9.857367,7.5957522,0.8,2.3,,,,,,20.56
4301,Baldingen,http://i.imgur.com/BEwN8fD.png,Elektra - Genossenschaft Baldingen,,17.59,7.563738,7.7260714,,2.3,,,,,,17.59
4302,Böbikon,http://i.imgur.com/XdM34RQ.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4303,Böttstein,http://i.imgur.com/qhbXZHO.png,AEW Energie AG,Elektra Böttstein,19.14,8.530548,7.806655,0.5,2.3,21.58,11.207108,7.9210715,0.15,2.3,20.36
4304,Döttingen,http://i.imgur.com/vlYGFfx.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4305,Endingen,http://i.imgur.com/n2YkuRe.png,AEW Energie AG,Elektrizitätsgenossenschaft Unterendingen,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4306,Fisibach,http://i.imgur.com/yTT7fDF.png,AEW Energie AG,,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
4307,Full-Reuenthal,http://i.imgur.com/K5WG8LN.png,AEW Energie AG,Elektra Mettauertal und Umgebung,19.14,8.530548,7.806655,0.5,2.3,19.09,9.68,6.9,0.21,2.3,19.115000000000002
4308,Kaiserstuhl,http://i.imgur.com/M6tzgTf.png,Elektra Genossenschaft Kaiserstuhl,,18.66,8.89331,6.471286,1.0,2.3,,,,,,18.66
4309,Klingnau,http://i.imgur.com/VoJQHvN.png,AEW Energie AG,Elektrizitäts - Versorgung Klingnau,19.14,8.530548,7.806655,0.5,2.3,,,,,,19.14
